dataset,family,physical_rank,centered_score_dimension,rank_baseline,reference_support_size,physical_heldout_retention,physical_heldout_rho,aligned_crossfit_heldout_retention,aligned_crossfit_heldout_rho,random_rank_heldout_retention,random_rank_heldout_rho,n
breast_cancer,ryrz_cz,6.0,63.0,0.0952380952380952,64.0,0.29980155547192266,3.147916332455188,0.3929536345597036,4.126013162876888,0.09456048991710214,0.9928851441295731,20
breast_cancer,su2_cnot,6.0,63.0,0.0952380952380952,64.0,0.19534488663667796,2.0511213096851186,0.3341245265425587,3.508307528696867,0.09569768528035813,1.0048256954437609,20
breast_cancer,su2_haar,6.0,63.0,0.0952380952380952,64.0,0.21734621185851277,2.2821352245143847,0.3202129876991623,3.3622363708412046,0.09769048372932318,1.0257500791578937,20
breast_cancer,u1_rzxy,5.0,19.0,0.2631578947368421,20.0,0.973678985329618,3.6999801442525486,0.9813297102672782,3.729052899015658,0.29264430674967207,1.112048365648754,20
digits01,ryrz_cz,6.0,63.0,0.0952380952380952,64.0,0.2801998023657789,2.9420979248406787,0.3882110875431904,4.0762164192035,0.09330511291891888,0.9797036856486487,20
digits01,su2_cnot,6.0,63.0,0.0952380952380952,64.0,0.1920707512370499,2.0167428879890243,0.30838077121770313,3.2379980977858835,0.09763105806410202,1.0251261096730717,20
digits01,su2_haar,6.0,63.0,0.0952380952380952,64.0,0.2118599606865182,2.2245295872084414,0.3098728060637358,3.2536644636692267,0.09807149929475362,1.0297507425949137,20
digits01,u1_rzxy,5.0,19.0,0.2631578947368421,20.0,0.9690621652541008,3.682436227965583,0.9780793416218161,3.7167014981629016,0.303635676228903,1.1538155696698316,20
iris01,ryrz_cz,6.0,63.0,0.0952380952380952,64.0,0.4333094641327772,4.549749373394161,0.47616776978407804,4.99976158273282,0.09097282369648976,0.9552146488131429,20
iris01,su2_cnot,6.0,63.0,0.0952380952380952,64.0,0.20870739116098128,2.1914276071903034,0.4242161187105675,4.45426924646096,0.09496977847520058,0.9971826739896065,20
iris01,su2_haar,6.0,63.0,0.0952380952380952,64.0,0.23723804930694187,2.4909995177228903,0.36109588276609933,3.7915067690440436,0.09742401697451152,1.0229521782323716,20
iris01,u1_rzxy,5.0,19.0,0.2631578947368421,20.0,0.974462687976055,3.702958214309009,0.9913796181736478,3.767242549059862,0.30131901498456487,1.1450122569413466,20
wine01,ryrz_cz,6.0,63.0,0.0952380952380952,64.0,0.2903802528494164,3.048992654918872,0.37306021107897464,3.9171322163292346,0.09458674306662512,0.9931608021995644,20
wine01,su2_cnot,6.0,63.0,0.0952380952380952,64.0,0.18110660820441535,1.9016193861463617,0.3159449495379153,3.3174219701481107,0.09487913603188883,0.9962309283348331,20
wine01,su2_haar,6.0,63.0,0.0952380952380952,64.0,0.2102056299778452,2.2071591147673755,0.3199590672241325,3.359570205853391,0.0944707839373209,0.9919432313418701,20
wine01,u1_rzxy,5.0,19.0,0.2631578947368421,20.0,0.9666252767768253,3.6731760517519363,0.9759817527488741,3.7087306604457217,0.2939283215535657,1.1169276219035498,20
