dataset,family,readout_order,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
digits01,su2_haar,1,AQNG-aligned,5,0.6199218423933959,0.06174642627906495,0.8133333333333332,0.05577733510227173,0.45033220991775263,15.5283895282,3.815153034483592,0.22748276171568996
digits01,su2_haar,1,AQNG-physical,5,0.7345983247413459,0.045826771667714976,0.7466666666666667,0.0730296743340222,0.505516247574212,15.7108574224,3.493849068738636,0.21593762230390193
digits01,su2_haar,1,AQNG-random,5,0.6951246759425057,0.08566325027523221,0.7466666666666667,0.055777335102271744,0.5179856591596078,15.6474163202,4.494607174936773,0.2447487395056928
digits01,su2_haar,1,Full-QNG,5,0.7635942913457247,0.12006304122055968,0.6933333333333334,0.1299572579307862,0.6084956140906963,210.2794357682,1.3571350607447523,0.07457096332382687
digits01,su2_haar,2,AQNG-aligned,5,0.7164810503890262,0.11560478269996517,0.72,0.08692269873603534,0.5292337686274452,14.417225967799999,1.7093609816103796,0.09013621104787137
digits01,su2_haar,2,AQNG-physical,5,0.6836397937492606,0.06626154491182469,0.7733333333333333,0.07601169500660922,0.5338173917604665,14.532405941999997,1.7248223700765393,0.09299722330228118
digits01,su2_haar,2,AQNG-random,5,0.694229623374478,0.0765508786212374,0.7733333333333333,0.059628479399994425,0.5490144855679999,14.466234541,1.853016687296416,0.1042510654787222
digits01,su2_haar,2,Full-QNG,5,0.7635942913457583,0.12006304122062085,0.6933333333333334,0.12995725793078622,0.6084956140907124,214.7874622448,1.357135060744771,0.07457096332382793
digits01,u1_rzxy,1,AQNG-aligned,5,2.0958008215553066,0.07543806707283703,0.4666666666666667,0.0,1.9337846354645016,6.3656671676,0.00128683522710696,7.778352727254259e-05
digits01,u1_rzxy,1,AQNG-physical,5,2.1000936327314412,0.06591407666751692,0.4666666666666667,0.0,1.9367285908367031,6.413816124000003,0.00126716497747288,7.66053074457667e-05
digits01,u1_rzxy,1,AQNG-random,5,2.0253630041535167,0.18106533183264778,0.4666666666666667,0.0,1.8335035353309466,6.3683352996,0.007689322748157801,0.0004865313517127256
digits01,u1_rzxy,1,Full-QNG,5,2.124372553727418,0.005653122963794299,0.4666666666666667,0.0,1.9474785402565886,117.5827664892,0.0035106613473784797,0.000214205058388287
digits01,u1_rzxy,2,AQNG-aligned,5,2.1270882864091947,0.005786949689136713,0.4666666666666667,0.0,1.9505352081432488,9.029400071199998,0.00126586570954064,7.653391896366751e-05
digits01,u1_rzxy,2,AQNG-physical,5,2.1270882748015554,0.005786967729055851,0.4666666666666667,0.0,1.950535202481645,9.039448248,0.00126586554915796,7.653390966078948e-05
