method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean,n_cases
AQNG-Z0,20,0.6352407973526008,0.2664878569647795,0.7827777777777778,0.15062142057273217,0.5978019425036577,13.575848381458336,3.2088480594096294,0.2084691718495866,240
AQNG-aligned,20,0.5944942193685887,0.2453449889192177,0.7947222222222222,0.14696659034142603,0.5441747839265741,13.569469222,3.9697149049290124,0.2585694236601362,240
AQNG-physical,20,0.6229070974260636,0.26018447127208594,0.7877777777777778,0.15245905217809447,0.5850653037008728,13.572060659991667,2.96287497645979,0.1958483463571498,240
AQNG-random,20,0.5955658279055817,0.2448087383671937,0.7913888888888889,0.1388667578834629,0.5294036506119587,13.599105860262501,4.614806359320101,0.2924168120887234,240
Adam,20,0.6202718140746822,0.24895504934541107,0.7730555555555555,0.13811481174818574,0.5546333180527402,0.6004091357333325,3.0154883322290265,0.18303914764409968,240
Block-QNG,20,0.678055106722164,0.2792877046803835,0.7605555555555555,0.1611201683919103,0.696107864552038,6.5399341227833325,1.6077762137393872,0.09739565072439021,240
Full-QNG,20,0.6561691795326731,0.25240276432444664,0.7688888888888888,0.14698161526880224,0.6538581222502635,154.57077631282084,1.829381652291509,0.11061361626341741,240
SGD,20,0.608362563091682,0.25431654708909485,0.7858333333333333,0.15296009999238108,0.585664439774414,0.6214562694791675,1.8406177755363176,0.18691994095741327,240
