dataset,family,shots,physical_rank,centered_score_dimension,rank_baseline,reference_support_size,physical_heldout_retention,physical_heldout_rho,aligned_crossfit_heldout_retention,aligned_crossfit_heldout_rho,random_rank_heldout_retention,random_rank_heldout_rho,n
digits01,su2_haar,1000.0,6.0,63.0,0.0952380952380952,64.0,0.21502586433058832,2.2577715754711782,0.29257913001129515,3.0720808651185996,0.09486513668054061,0.996083935145677,5
digits01,su2_haar,10000.0,6.0,63.0,0.0952380952380952,64.0,0.22803789499589272,2.394397897456874,0.30542961898440635,3.207010999336267,0.09426579335552057,0.9897908302329667,5
digits01,u1_rzxy,1000.0,5.0,19.0,0.2631578947368421,20.0,0.8032612397472944,3.0523927110397184,0.9428492731468824,3.5828272379581536,0.27523669423253894,1.0458994380836482,5
digits01,u1_rzxy,10000.0,5.0,19.0,0.2631578947368421,20.0,0.8953977118425354,3.4025113050016342,0.958995150189504,3.6441815707201157,0.2774319966766468,1.054241587371258,5
iris01,su2_haar,1000.0,6.0,63.0,0.0952380952380952,64.0,0.23043563174286086,2.4195741333000393,0.3389459592251017,3.5589325718635685,0.09662080197115358,1.014518420697113,5
iris01,su2_haar,10000.0,6.0,63.0,0.0952380952380952,64.0,0.24228566377973354,2.543999469687202,0.3564907343330426,3.743152710496948,0.0990383811965626,1.0399030025639076,5
iris01,u1_rzxy,1000.0,5.0,19.0,0.2631578947368421,20.0,0.8828739045687793,3.3549208373613624,0.9662795390600485,3.6718622484281838,0.27965813887933033,1.0627009277414556,5
iris01,u1_rzxy,10000.0,5.0,19.0,0.2631578947368421,20.0,0.9296362910843742,3.5326179061206227,0.983787054250263,3.738390806151,0.2761445117607736,1.04934914469094,5
