dataset,family,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
breast_cancer,ryrz_cz,AQNG-Z0,20,0.8484019346889763,0.3183357639945774,0.7166666666666667,0.1432700798822758,0.8068001322880756,9.8422034534,1.2432432302456924,0.10734802042050214
breast_cancer,ryrz_cz,AQNG-aligned,20,0.8068923296385406,0.26416585443519874,0.7166666666666667,0.16736694986296652,0.7522046213144045,9.847562291750002,2.0595813280949846,0.1553152249585066
breast_cancer,ryrz_cz,AQNG-physical,20,0.7894956001029103,0.23182468924486146,0.7033333333333334,0.15366858848743067,0.7821079962610208,9.85259712885,1.5827584126508247,0.12409257448832993
breast_cancer,ryrz_cz,AQNG-random,20,0.7714926480507024,0.18370787226906612,0.74,0.10350579835157868,0.6971442007796973,9.869315620649996,3.1074323938460275,0.22582974491294155
breast_cancer,ryrz_cz,Adam,20,0.8144750685237643,0.07577455638016474,0.6533333333333333,0.10052493799000692,0.6996890912194026,0.4563332392499987,2.564242000168135,0.1639100918736863
breast_cancer,ryrz_cz,Block-QNG,20,0.6803291481399041,0.13498544866568468,0.8200000000000001,0.07828572648165331,0.6883417681336726,2.8672312301000007,2.3295229314533357,0.1460062708907416
breast_cancer,ryrz_cz,Full-QNG,20,0.6700518459778853,0.14652899246375561,0.79,0.08725843849003546,0.7484824311784944,50.86607795944999,1.8110140318591825,0.11067670983242621
breast_cancer,ryrz_cz,SGD,20,0.7396172387028199,0.12136889760887175,0.7266666666666667,0.11424811411549592,0.6662082686277445,0.4508175394000077,3.104546900993434,0.3319331736375213
breast_cancer,su2_cnot,AQNG-Z0,20,0.8079084910086752,0.1610433653302066,0.6966666666666667,0.1091701820781241,0.7246481387747087,15.7249939033,3.8494876155811126,0.32810178757524733
breast_cancer,su2_cnot,AQNG-aligned,20,0.7643713072601671,0.13018437397433624,0.7166666666666667,0.09642741111341263,0.6953139685275364,15.741359937200002,4.39266719257701,0.3288062679572458
breast_cancer,su2_cnot,AQNG-physical,20,0.8065250742967873,0.1637232183744543,0.6933333333333334,0.10236958612665527,0.7479188564428293,15.6907419218,3.603808116916567,0.30364181836294357
breast_cancer,su2_cnot,AQNG-random,20,0.7916040211446328,0.12576971839510162,0.7033333333333334,0.09041813201173333,0.6842947703358806,15.837486921150003,5.378260539973146,0.36527752660081847
breast_cancer,su2_cnot,Adam,20,0.7667530888539592,0.09186832817160885,0.72,0.08812537586498585,0.8255173115239588,0.5307448787999902,2.9716130617345513,0.1963317907551714
breast_cancer,su2_cnot,Block-QNG,20,0.6475191529866633,0.05196479954035924,0.8033333333333333,0.059136080554867826,0.82940836559723,5.580025566649994,1.9808433753257801,0.12283439171488142
breast_cancer,su2_cnot,Full-QNG,20,0.7015518491943386,0.0667775779416105,0.7533333333333333,0.08678803916836735,0.6765038694565663,204.0466021856,2.6773050631879283,0.18022124839458653
breast_cancer,su2_cnot,SGD,20,0.6669592522037233,0.04337989411298848,0.74,0.08624729845756374,0.6682822254614441,0.5931950533500029,2.411259034409089,0.2529109892383859
breast_cancer,su2_haar,AQNG-Z0,20,0.8760486884575484,0.10087958099825863,0.6466666666666667,0.10618311448233937,0.7631612943127694,15.141321027450005,4.738922911054138,0.23857529414031578
breast_cancer,su2_haar,AQNG-aligned,20,0.8619720659768559,0.11576814349180552,0.6633333333333333,0.12699864160990165,0.7383552277788927,15.114643869750006,4.8947489537298905,0.25984857426314556
breast_cancer,su2_haar,AQNG-physical,20,0.8984295279714095,0.13326790831124796,0.6399999999999999,0.11727909432167472,0.7589925105999766,15.204830825350001,4.074435490016073,0.20495325254983646
breast_cancer,su2_haar,AQNG-random,20,0.8523767141559422,0.11960841427886361,0.6599999999999999,0.10574160273850401,0.7437442896601804,15.160366656349998,5.30291003049619,0.28810356655502445
breast_cancer,su2_haar,Adam,20,0.8558140882865537,0.1454629083148689,0.6799999999999999,0.12349680962803894,0.7548590868176305,0.8244764791500032,3.7569198338330763,0.2119632504287027
breast_cancer,su2_haar,Block-QNG,20,0.9458079111677226,0.15017902259271954,0.6133333333333333,0.17651599003161755,0.924420453074806,11.25966401419999,1.1332119040319473,0.06777519958264458
breast_cancer,su2_haar,Full-QNG,20,0.9471452146306006,0.17752366531185163,0.6166666666666666,0.13658320087124154,0.9164949240218394,211.08834525425,1.67993091696177,0.09711109917189648
breast_cancer,su2_haar,SGD,20,0.9136530081527339,0.13997627103024082,0.62,0.1758521441671586,0.884530006606898,0.8277137855000021,0.91594843716047,0.08964904756306803
breast_cancer,u1_rzxy,AQNG-Z0,20,2.6511292021431325,0.03401507883625834,0.3333333333333333,0.0,2.4738982679709287,7.685092790199998,0.001131544162551101,7.452782486376292e-05
breast_cancer,u1_rzxy,AQNG-aligned,20,2.6584737956484674,0.009627395301995882,0.3333333333333333,0.0,2.4810619760850763,7.707455876550003,0.0017438779802746538,0.0001103900204595148
breast_cancer,u1_rzxy,AQNG-physical,20,2.659893304984709,0.008052637260125855,0.3333333333333333,0.0,2.4823544977315217,7.693726254599999,0.0016744983842129594,0.00010625690892775391
breast_cancer,u1_rzxy,AQNG-random,20,2.5623923908055266,0.25892898979962453,0.3333333333333333,0.0,2.3899894212417037,7.699134311199998,0.011323724717461571,0.0007933551109414617
breast_cancer,u1_rzxy,Adam,20,2.039294553983915,0.4557910861907675,0.3466666666666666,0.046390158262563964,1.9053143224913895,0.3511891488499984,0.04222477997537767,0.0036774192443718946
breast_cancer,u1_rzxy,Block-QNG,20,2.6355282367218926,0.02384444183005411,0.3333333333333333,0.0,2.459582050423481,4.431733528300003,0.00579320034098821,0.0003644280684550738
breast_cancer,u1_rzxy,Full-QNG,20,2.6578080311932823,0.009527427756444695,0.3333333333333333,0.0,2.4804173419609596,132.0459710326,0.002524455156847914,0.000155340446876894
