dataset,family,readout_order,physical_rank,centered_score_dimension,rank_baseline,reference_support_size,physical_heldout_retention,physical_heldout_rho,aligned_crossfit_heldout_retention,aligned_crossfit_heldout_rho,random_rank_heldout_retention,random_rank_heldout_rho,n
digits01,su2_haar,1,6.0,63.0,0.0952380952380952,64.0,0.22937688659469563,2.4084573092443047,0.307785327417515,3.2317459378839084,0.09415405181611654,0.9886175440692242,5
digits01,su2_haar,2,21.0,63.0,0.3333333333333333,64.0,0.5139384505726913,1.5418153517180735,0.7382769581291846,2.2148308743875544,0.3268466633003048,0.9805399899009144,5
digits01,u1_rzxy,1,5.0,19.0,0.2631578947368421,20.0,0.9628325277022665,3.658763605268613,0.9733850508664841,3.6988631932926395,0.2753870710979026,1.0464708701720302,5
digits01,u1_rzxy,2,14.0,19.0,0.7368421052631579,20.0,0.999999709795994,1.3571424632945635,0.999999983486925,1.3571428347322554,0.7513637684474409,1.019707971464384,5
iris01,su2_haar,1,6.0,63.0,0.0952380952380952,64.0,0.24470668159168502,2.569420156712693,0.36063833287846353,3.7867024952238673,0.09884750673076141,1.0378988206729958,5
iris01,su2_haar,2,21.0,63.0,0.3333333333333333,64.0,0.5277272652567814,1.5831817957703442,0.7968652575948608,2.390595772784583,0.33050289626667784,0.9915086888000337,5
iris01,u1_rzxy,1,5.0,19.0,0.2631578947368421,20.0,0.9868573908806978,3.7500580853466516,0.9951367958759431,3.7815198243285844,0.2750115832596186,1.0450440163865509,5
iris01,u1_rzxy,2,14.0,19.0,0.7368421052631579,20.0,0.9999999287804526,1.357142760487757,0.9999999829294335,1.3571428339756597,0.74897624081999,1.016467755398558,5
