dataset,family,n_layers,physical_rank,centered_score_dimension,rank_baseline,reference_support_size,physical_heldout_retention,physical_heldout_rho,aligned_crossfit_heldout_retention,aligned_crossfit_heldout_rho,random_rank_heldout_retention,random_rank_heldout_rho,n
iris01,su2_haar,1,6.0,63.0,0.0952380952380952,64.0,0.4869649320011882,5.1131317860124765,0.6068490638702986,6.371915170638137,0.0989498501230682,1.0389734262922166,5
iris01,su2_haar,3,6.0,63.0,0.0952380952380952,64.0,0.24470668159168502,2.5694201567126926,0.36063833287846353,3.7867024952238673,0.09884750673076141,1.0378988206729955,5
iris01,su2_haar,5,6.0,63.0,0.0952380952380952,64.0,0.14924601120836006,1.5670831176877815,0.2793027356011191,2.932678723811751,0.10248336126763653,1.0760752933101845,5
iris01,u1_rzxy,1,5.0,19.0,0.2631578947368421,20.0,0.9843941678230582,3.740697837727621,0.9982919975394801,3.7935095906500242,0.288843163161342,1.0976040200130999,5
iris01,u1_rzxy,3,5.0,19.0,0.2631578947368421,20.0,0.9868573908806978,3.7500580853466516,0.9951367958759431,3.7815198243285844,0.2750115832596186,1.0450440163865509,5
iris01,u1_rzxy,5,5.0,19.0,0.2631578947368421,20.0,0.9853156647620285,3.7441995260957084,0.9936102086280643,3.7757187927866447,0.270056236925844,1.0262137003182077,5
