dataset,family,n_layers,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
iris01,su2_haar,1,AQNG-aligned,5,0.32148625368586814,0.0896647435998481,0.9333333333333332,0.047140452079103175,0.365519297088661,5.674293616199998,1.9779689310157373,0.08882675084565755
iris01,su2_haar,1,AQNG-physical,5,0.40107107830670496,0.2097733276370382,0.8666666666666666,0.09428090415820635,0.43973217687040433,5.632839180399995,1.6630689871393791,0.06906328544923605
iris01,su2_haar,1,AQNG-random,5,0.33631797546210035,0.08061808832614706,0.9066666666666666,0.07601169500660916,0.34172783663814926,5.703689257999997,3.234021367672271,0.17541264871359755
iris01,su2_haar,1,Full-QNG,5,0.4525857340775694,0.1801381230534895,0.8400000000000001,0.11155467020454338,0.471877769197922,6.124337213799995,1.2677905398274707,0.05256961313272361
iris01,su2_haar,3,AQNG-aligned,5,0.23734562986065805,0.07141523491870544,0.9733333333333333,0.03651483716701112,0.2410983739788149,15.157500072600001,7.046360754952362,0.4362744451965052
iris01,su2_haar,3,AQNG-physical,5,0.2729227960955538,0.08327277586745428,0.9733333333333333,0.03651483716701112,0.27665747492082493,15.220483108399998,4.798508395570091,0.3214851905583186
iris01,su2_haar,3,AQNG-random,5,0.24102699104890934,0.051995104423731696,0.9733333333333333,0.036514837167011115,0.23476706664319674,15.206686535599994,8.198793383623519,0.48069406169879486
iris01,su2_haar,3,Full-QNG,5,0.4638726582561544,0.12396067741112113,0.9066666666666666,0.0596284793999944,0.41179347492555085,200.5410408528,2.28345310039031,0.13106375465477366
iris01,su2_haar,5,AQNG-aligned,5,0.1385881361757129,0.02232629908626855,1.0,0.0,0.14767755691282827,26.335170599400005,7.434270918643401,0.3691736465156235
iris01,su2_haar,5,AQNG-physical,5,0.18328341298062173,0.060825060692669936,1.0,0.0,0.1957651687135532,26.793961587800005,4.890379575768453,0.20577916062299667
iris01,su2_haar,5,AQNG-random,5,0.1267632599339503,0.010581437183626878,1.0,0.0,0.13655280081657087,26.576299792200007,7.96445751325101,0.39823317892058047
iris01,su2_haar,5,Full-QNG,5,0.38801067027970326,0.10093787943169034,0.96,0.05962847939999444,0.39653521847526607,1532.2379245948,1.9946173687177535,0.10926538044334717
iris01,u1_rzxy,1,AQNG-aligned,5,2.131960753531451,0.0012121583862764974,0.4666666666666667,0.0,1.9542974134853264,3.1924086021999925,0.0006689339970156087,4.04581675222282e-05
iris01,u1_rzxy,1,AQNG-physical,5,2.1319722131510668,0.0012021205894439402,0.4666666666666667,0.0,1.954307917206545,3.1878863477999944,0.0006554734277818426,3.9637862162855696e-05
iris01,u1_rzxy,1,AQNG-random,5,2.1189157792890585,0.02074947781744578,0.4666666666666667,0.0,1.9423497828258476,3.1646314310000037,0.0030674340738590816,0.00019935618418958625
iris01,u1_rzxy,1,Full-QNG,5,2.130949964851916,0.0021320111879535794,0.4666666666666667,0.0,1.9533709720400967,4.599302790800005,0.0014643139632414177,8.93939078581756e-05
iris01,u1_rzxy,3,AQNG-aligned,5,2.122338777803793,0.013715991605834905,0.4666666666666667,0.0,1.9466038496206046,8.15604637959999,0.00289757595799108,0.00017399620607185074
iris01,u1_rzxy,3,AQNG-physical,5,2.122607710633144,0.013165728128564239,0.4666666666666667,0.0,1.9468132710133195,8.145179359799993,0.0028392469504127,0.00017051196912393373
iris01,u1_rzxy,3,AQNG-random,5,1.613072937185003,0.5697321027122837,0.4666666666666667,0.0,1.5172005023913058,8.162980803399998,0.025678548709481358,0.00189225449620492
iris01,u1_rzxy,3,Full-QNG,5,2.120848399568528,0.012030179591565993,0.4666666666666667,0.0,1.945219741607439,133.1824336276,0.0039760017937702005,0.00024328202642397997
iris01,u1_rzxy,5,AQNG-aligned,5,2.039954355941093,0.08752285442286253,0.4666666666666667,0.0,1.8777878881298673,13.164322685600002,0.00206910531641002,0.00012804220973267597
iris01,u1_rzxy,5,AQNG-physical,5,2.048160262315827,0.08772379456790912,0.4666666666666667,0.0,1.884988798207413,13.347633786400001,0.00199894683046542,0.00012363421060859257
iris01,u1_rzxy,5,AQNG-random,5,1.491293972212775,0.6781784792681776,0.5733333333333334,0.23851391759997762,1.426989442936144,13.267061882799998,0.02996614748160354,0.00277181408992128
iris01,u1_rzxy,5,Full-QNG,5,2.1085468655281816,0.03842300351707479,0.4666666666666667,0.0,1.9358563316085777,939.7524251606001,0.00277243611072384,0.000170135819295986
