dataset,family,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,implemented_total_seconds_mean,implemented_metric_seconds_mean,metric_examples_total,loss_examples_total,metric_rank_first_mean,metric_trace_first_mean
breast_cancer,ryrz_cz,AQNG,20,0.8621734652632946,0.3780782021465966,0.6725,0.18243600175634772,11.170635280949998,9.949839800449995,40,160,29.45,16.22730808256808
breast_cancer,ryrz_cz,Full-QNG,20,1.1256110878172838,0.36713687016631513,0.56,0.08045920836378094,121.04677045640001,119.81244492524998,40,160,35.85,26.317958103856085
breast_cancer,su2_cnot,AQNG,20,0.9446818740162743,0.18612184566485587,0.62,0.1331797360909803,13.52899973995,11.983735442400022,40,160,44.0,14.043939720547082
breast_cancer,su2_cnot,Full-QNG,20,0.8903773644183012,0.1942352452531615,0.625,0.1057554278811059,515.9103385928,514.4374526267,40,160,50.0,41.37888587766189
breast_cancer,su2_haar,AQNG,20,0.8190332658370268,0.1853484024943549,0.6849999999999999,0.13774499704354531,20.043722320250016,17.881515168350074,40,160,48.0,11.003759640834787
breast_cancer,su2_haar,Full-QNG,20,0.9503782921999344,0.1597397445638417,0.5875,0.12656909908072056,513.5366828667,511.27514812045,40,160,48.0,41.93671792230267
breast_cancer,u1_rzxy,AQNG,20,2.535812438512777,0.10438657705416639,0.35,0.0,9.578546483799988,8.684153378750029,40,160,19.7,2.325656241021346
breast_cancer,u1_rzxy,Full-QNG,20,2.572861500975139,0.019787460671107097,0.35,0.0,341.49837375480007,340.5611274688999,40,160,23.6,6.727664685902329
digits01,ryrz_cz,AQNG,20,1.1359134558127588,0.4256529187497278,0.545,0.18911149593490303,10.394562342649989,9.263478561549997,40,160,29.35,16.29423063335039
digits01,ryrz_cz,Full-QNG,20,0.9910876659520372,0.3587764038569681,0.6575,0.12169309974816067,113.8130112884,112.65533954965,40,160,35.9,25.595177842268054
digits01,su2_cnot,AQNG,20,0.5728210778636283,0.1376775696349241,0.7975000000000001,0.06972691091152079,12.628361262899997,11.190176222350015,40,160,44.0,14.511891159067678
digits01,su2_cnot,Full-QNG,20,0.8048599027232708,0.24844192515517516,0.6950000000000001,0.13945382182304158,487.00776514405,485.63193814059997,40,160,50.0,40.39843361420906
digits01,su2_haar,AQNG,20,0.6127661843233955,0.25040758876393676,0.8175000000000001,0.18011326845539227,18.518710687649993,16.52457036345001,40,160,48.0,11.013556835917568
digits01,su2_haar,Full-QNG,20,0.7003491586534606,0.20247092708535813,0.775,0.15346866644024562,485.02853550789996,482.95388677950007,40,160,48.0,42.11638523065599
digits01,u1_rzxy,AQNG,20,1.9826181316847014,0.014431574702584044,0.5,0.0,8.917167227300002,8.089418517900043,40,160,19.4,2.2398705345268137
digits01,u1_rzxy,Full-QNG,20,1.9856794010477945,0.011447962727676366,0.5,0.0,321.58519047175,320.72081225499994,40,160,23.8,6.655563254034493
iris01,ryrz_cz,AQNG,20,0.8327077474447566,0.6180504108145964,0.7075,0.23966808188343353,11.414200017999999,10.16858837009998,40,160,26.85,15.771278088594892
iris01,ryrz_cz,Full-QNG,20,0.6710867015207442,0.12140445089423078,0.7575000000000001,0.06340139463848778,124.0340721663,122.7848466447,40,160,35.7,26.873561642509816
iris01,su2_cnot,AQNG,20,0.48295932252776036,0.19037634829243927,0.865,0.09472953188170156,13.86867406205,12.272240031900026,40,160,42.0,13.073637150949722
iris01,su2_cnot,Full-QNG,20,0.6059424019199362,0.18132339471240794,0.7925,0.08626001086067756,532.57749502255,531.0663147703001,40,160,48.0,43.91086403314138
iris01,su2_haar,AQNG,20,0.3226394925578745,0.16121652603916622,0.9550000000000001,0.07591546545162484,20.491707680650002,18.302410729799988,40,160,42.0,11.223250705406734
iris01,su2_haar,Full-QNG,20,0.5445498353413327,0.19896531585479113,0.8724999999999999,0.12190915513308731,529.7611144495,527.4486352985999,40,160,42.0,42.000095592601944
iris01,u1_rzxy,AQNG,20,1.973949895378329,0.02774276658035894,0.5,0.0,9.810855343200013,8.897009392000143,40,160,18.8,2.944888120868801
iris01,u1_rzxy,Full-QNG,20,1.9840467513899624,0.015443229465329859,0.5,0.0,351.08965893095,350.1315636640501,40,160,23.05,6.917720498094333
wine01,ryrz_cz,AQNG,20,0.8063642090139742,0.5244581306850844,0.6975,0.21611096077807126,11.192615211300003,9.972622544750042,40,160,29.3,16.031992062031613
wine01,ryrz_cz,Full-QNG,20,1.204006521348949,0.2768284871522844,0.5225000000000001,0.03431663705766301,120.867217824,119.62232623634995,40,160,35.85,27.252670008713334
wine01,su2_cnot,AQNG,20,0.7619973555156825,0.265110468780212,0.7125,0.16926699557052957,13.527926850100002,11.98996847734998,40,160,44.0,14.263759956229574
wine01,su2_cnot,Full-QNG,20,0.7923852289935205,0.22037398130241906,0.635,0.10525657874176345,515.3640545663,513.88036211385,40,160,50.0,41.49005583378491
wine01,su2_haar,AQNG,20,0.657283904194584,0.10167221765179228,0.775,0.07521897856819185,20.05616622755003,17.883590440250003,40,160,48.0,11.067093040444014
wine01,su2_haar,Full-QNG,20,0.8745955686368564,0.2593395597530093,0.6775,0.19089470782000273,514.1512518075999,511.91820742004995,40,160,48.0,41.5739650450516
wine01,u1_rzxy,AQNG,20,2.178258180823185,0.016386381053077242,0.45,0.0,9.667966841550015,8.769310071549995,40,160,19.6,2.321118955615577
wine01,u1_rzxy,Full-QNG,20,2.183276846658348,0.012612986365040338,0.45,0.0,341.84049209555,340.91186512825,40,160,23.55,6.621810051500747
