dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,steps,lr,nominal_lam,metric_normalization,damping_mode,max_direction_norm,max_metric_step,shots,loss_batch,metric_batch,metric_every,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,loss_executions,metric_executions,loss_shots_total,metric_shots_total,metric_oracle_in_shot_mode,metric_rank_first,metric_trace_first,metric_rank_last,metric_trace_last,first_g_dot_d,first_predicted_decrease,first_actual_same_batch_decrease,first_actual_same_batch_loss_before,first_actual_same_batch_loss_after,first_diag_metric_rank,first_diag_metric_condition,first_diag_trust_clipped,readout_order,suite,finite_shot_calibration,initial_gradient_max_abs_diff_to_first_method,initial_direction_cosine_to_full_qng,training_shots_total,calibration_shots_shared,end_to_end_shots_including_calibration,training_executions_total,calibration_executions_shared,end_to_end_executions_including_calibration,paper_tag
wine01,ryrz_cz,AQNG-physical,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6124749126735075,0.7555555555555555,0.3460054282331729,0.8666666666666667,11.475576292999987,10.91427805699999,0.5555212569999668,0.0026422279999991,10,20,80,0,0,0,0,False,12.0,12.868103736910596,12.0,11.377328310202609,0.6241026724836485,0.0374461603490189,0.0832295067211084,3.767364989119263,3.6841354823981542,12,191.70498341276308,True,1,full,False,0.0,0.2875898258879323,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,AQNG-random,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5727716823812687,0.8,0.3346640829379825,0.9333333333333332,11.49819375300001,10.99899642600002,0.4934300160000049,0.0026726329999746,10,20,80,0,0,0,0,False,12.0,4.468017857852657,12.0,4.339004837715708,4.192094113641877,0.2515256468185126,0.6849072546230701,3.767364989119263,3.082457734496193,12,7280.919971170154,True,1,full,False,0.0,0.1282668970310642,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,AQNG-aligned,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5333155429873431,0.9111111111111112,0.2582157094192817,1.0,11.562048852999991,10.985426273999993,0.5706629760000084,0.0027397290000408,10,20,80,0,0,0,0,False,12.0,8.860021200917028,12.0,8.173158368640701,1.726689342353247,0.1036013605411948,0.2220303335163249,3.767364989119263,3.545334655602938,12,2171.3208916926064,True,1,full,False,0.0,0.0779754823378537,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,AQNG-Z0,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5624921307212125,0.8222222222222222,0.4349193366760235,0.8,11.653258999000002,11.14251563199997,0.5047331099999894,0.0028212610000082,10,20,80,0,0,0,0,False,2.0,2.2022464777205157,2.0,2.5869192554244456,0.5157159121800541,0.0309429547308032,0.0975387391716577,3.767364989119263,3.669826249947605,2,7.977866021754975,True,1,full,False,0.0,0.1930946118669235,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,Full-QNG,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6849473187919021,0.6888888888888889,0.4865076265609761,0.7333333333333333,55.15595247,54.55912903599996,0.5899990749999517,0.0029227240000579,10,20,80,0,0,0,0,False,36.0,25.901757798328813,36.0,26.78945617423067,0.917551801531638,0.0550531080918982,0.0595821489863248,3.767364989119263,3.707782840132938,36,7446711.485092126,False,1,full,False,0.0,1.0,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,Block-QNG,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6551322024044437,0.6888888888888889,0.4470503321758513,0.7333333333333333,3.437359545999982,2.896981788000062,0.5335938079999778,0.002950556000087,10,20,80,0,0,0,0,False,36.0,25.90175779832881,36.0,26.087180596543423,1.6075914795181354,0.0964554887710881,0.1086955951375499,3.767364989119263,3.658669393981713,36,7.055501638609992,False,1,full,False,0.0,0.2476022768320313,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,SGD,8,6,3,36,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5355326826019816,0.8666666666666667,0.3303634388957158,0.8666666666666667,0.5207694609999862,0.0,0.5179479490000745,0.000362541999948,0,0,80,0,0,0,0,False,,,,,2.2171602937608466,0.2217160293760846,0.285143451812484,3.767364989119263,3.482221537306779,0,,False,1,full,False,0.0,0.2322138184322688,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,Adam,8,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5667448177910395,0.8666666666666667,0.2805037853454379,1.0,0.5145211370000027,0.0,0.5113595560000874,0.0008003730000325,0,0,80,0,0,0,0,False,,,,,2.5566191342452718,0.1533971480547162,0.175705873513055,3.767364989119263,3.591659115606208,0,,False,1,full,False,0.0,0.2907012622375532,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,AQNG-physical,19,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5905094562622928,0.8222222222222222,0.3276776638920849,1.0,8.742222612999996,8.209846017000018,0.5259790130000397,0.0030695040000239,10,20,80,0,0,0,0,False,12.0,13.996073253250223,12.0,10.404229060538004,4.715918084349642,0.2829550850609785,0.4344425233542286,2.6691414996958582,2.2346989763416296,12,687.3772397372135,True,1,full,False,0.0,0.4306951417565671,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-wine01-ryrz_cz-s19
wine01,ryrz_cz,AQNG-random,19,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5710642787340405,0.8888888888888888,0.2828686126379191,0.9333333333333332,8.806916417999986,8.354847682000013,0.4459513959999128,0.0028853480000066,10,20,80,0,0,0,0,False,12.0,4.698128889121708,12.0,2.163101881890482,2.829217116684513,0.1697530270010707,0.2432204847041799,2.6691414996958582,2.4259210149916783,12,514.6901565263094,True,1,full,False,0.0,0.3341516999829921,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-wine01-ryrz_cz-s19
