dataset,family,seed,rank,centered_score_dimension,same_record_finite_shot,physical_metric_trace,physical_metric_rank,random_rank_metric_trace,random_rank_metric_rank,aligned_crossfit_metric_trace,aligned_crossfit_metric_rank,physical_vs_random_fro,physical_vs_aligned_fro,source_artifact
iris01,su2_haar,0,6,63,False,4.431955393730394,12,3.8147622379389,12,8.238610163992025,12,2.172394415562795,3.661246800068799,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,1,6,63,False,6.631372653757855,12,3.282324090862453,12,6.880399184621121,12,2.39841231392302,2.4120888755618286,paper-run-baselines-depth-su2_haar-L5-s1
iris01,su2_haar,2,6,63,False,6.172033880570739,12,4.399813808240088,12,5.683735940996024,12,2.151694095030256,2.432141700968584,paper-run-baselines-depth-su2_haar-L5-s2
iris01,su2_haar,3,6,63,False,5.051717340561156,12,3.851319006533936,12,4.828316579959491,12,1.5841275143664753,1.8997247505104613,paper-run-baselines-depth-su2_haar-L5-s3
iris01,su2_haar,4,6,63,False,6.9864400979016,12,3.454746567573641,12,9.15702302354656,12,2.418955058846432,2.9204654854370813,paper-run-baselines-depth-su2_haar-L5-s4
iris01,su2_haar,0,10,1023,False,5.8030808719840845,16,0.3850376695073336,20,9.13670781708576,20,2.208107504863807,2.5479886982363102,paper-run-baselines-scaling-su2_haar-n10-s0
iris01,su2_haar,1,10,1023,False,7.333234349188775,16,0.701486552702543,20,10.899239656217782,20,2.186095114484422,2.9835747288371763,paper-run-baselines-scaling-su2_haar-n10-s1
iris01,su2_haar,2,10,1023,False,7.43357202720426,16,0.3649146115231959,20,7.29032617255256,20,2.5193871464492674,2.0629057091099017,paper-run-baselines-scaling-su2_haar-n10-s2
iris01,su2_haar,3,10,1023,False,5.545743632883079,16,0.3832015209434538,20,7.795409656264671,20,1.937263352467962,2.1658298416860697,paper-run-baselines-scaling-su2_haar-n10-s3
iris01,su2_haar,4,10,1023,False,9.271000910431344,16,0.3909946677620444,20,14.677351336554276,20,3.19274118501102,4.033391443433207,paper-run-baselines-scaling-su2_haar-n10-s4
iris01,su2_haar,0,8,255,False,5.462989856226065,14,0.9788151771127932,16,9.047636273933543,16,2.3809911572549085,2.8756391074592926,paper-run-baselines-scaling-su2_haar-n8-s0
iris01,su2_haar,1,8,255,False,7.638609331160959,14,1.1733612485722589,16,9.613501666862106,16,2.726066837258869,2.784988121785427,paper-run-baselines-scaling-su2_haar-n8-s1
iris01,su2_haar,2,8,255,False,6.957034877988239,14,1.2378910784752135,16,7.828258597658698,16,2.48426715291892,2.7856243006493107,paper-run-baselines-scaling-su2_haar-n8-s2
iris01,su2_haar,3,8,255,False,6.059967833701202,14,0.8111050095051857,16,5.5355393875005,16,2.0625935549909205,1.8473495434012368,paper-run-baselines-scaling-su2_haar-n8-s3
iris01,su2_haar,4,8,255,False,6.887939496966552,14,1.12740636558311,16,9.493570911419816,16,2.8542609701929607,2.3780470897095314,paper-run-baselines-scaling-su2_haar-n8-s4
