dataset,family,method,seed,step,loss_before,gradient_norm,direction_norm,parameter_step_norm,metric_refreshed,metric_scale_factor,effective_damping,raw_direction_norm,raw_metric_step_norm,metric_step_norm,trust_region_clipped,clip_scale,source_artifact
iris01,su2_haar,SGD,0,1,1.415689389384036,1.3330332935720046,1.3330332935720046,0.1333033293572004,0,,,1.3330332935720046,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,2,1.115202660796289,1.109120018182026,1.109120018182026,0.1109120018182026,0,,,1.109120018182026,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,3,1.4401822857086088,0.9438421985496316,0.9438421985496316,0.0943842198549631,0,,,0.9438421985496316,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,4,1.2874771585417757,1.0676648884673277,1.0676648884673277,0.1067664888467327,0,,,1.0676648884673277,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,5,1.3114714515554975,1.5128985544825817,1.5128985544825817,0.1512898554482581,0,,,1.5128985544825817,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,6,0.8442574942901485,1.036888637519105,1.036888637519105,0.1036888637519105,0,,,1.036888637519105,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,7,0.970037813359372,0.9350812623962194,0.9350812623962194,0.0935081262396219,0,,,0.9350812623962194,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,8,1.0900163948118635,0.9238221932708212,0.9238221932708212,0.0923822193270821,0,,,0.9238221932708212,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,9,1.158873559985055,0.8905072686037371,0.8905072686037371,0.0890507268603737,0,,,0.8905072686037371,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,10,0.9267893071928416,0.9210914933144714,0.9210914933144714,0.0921091493314471,0,,,0.9210914933144714,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,11,0.6502484270535058,0.8128091221843514,0.8128091221843514,0.0812809122184351,0,,,0.8128091221843514,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,12,0.8520625984697159,0.8804589731152559,0.8804589731152559,0.0880458973115256,0,,,0.8804589731152559,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,13,0.7863092281716847,1.0152104556436452,1.0152104556436452,0.1015210455643645,0,,,1.0152104556436452,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,14,0.5191036969655357,0.5168798924521945,0.5168798924521945,0.0516879892452194,0,,,0.5168798924521945,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,15,0.7107881369323783,0.7892025378267775,0.7892025378267775,0.0789202537826777,0,,,0.7892025378267775,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,16,0.5747140568653136,0.9511496925829628,0.9511496925829628,0.0951149692582963,0,,,0.9511496925829628,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,17,0.6385207452072852,0.958188002363407,0.958188002363407,0.0958188002363407,0,,,0.958188002363407,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,18,0.4940110129812309,0.6785890337914366,0.6785890337914366,0.0678589033791436,0,,,0.6785890337914366,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,19,0.5721131647612281,0.6774248087590159,0.6774248087590159,0.0677424808759016,0,,,0.6774248087590159,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,SGD,0,20,0.6150091139080218,0.7094283145351146,0.7094283145351146,0.0709428314535114,0,,,0.7094283145351146,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,1,1.415689389384036,1.3330332935720046,7.745959630212685,0.464757577812761,0,,,7.745959630212685,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,2,0.9123758571487144,0.9231671731555724,6.304582787405474,0.3782749672443284,0,,,6.304582787405474,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,3,1.1217509506527057,0.9505061391056244,5.93541550159354,0.3561249300956123,0,,,5.93541550159354,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,4,0.6630133115845801,0.75664688634356,5.632539563652332,0.3379523738191399,0,,,5.632539563652332,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,5,0.7626439766662529,1.2360535402083863,5.166530777119046,0.3099918466271427,0,,,5.166530777119046,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,6,0.7776641508659341,1.2440968826023917,4.214112835057782,0.2528467701034669,0,,,4.214112835057782,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,7,0.7125187039940168,0.8517810404539823,3.923575279274353,0.2354145167564611,0,,,3.923575279274353,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,Adam,0,8,0.6945322582010591,0.8997424326209569,3.8460731962725063,0.2307643917763503,0,,,3.8460731962725063,,,False,1.0,paper-run-baselines-depth-su2_haar-L5-s0
