setting,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
n10_L3,AQNG-aligned,5,0.25379100834349433,0.05849755417115028,0.9866666666666667,0.02981423969999725,0.2616887704663247,396.26298809659994,5.21952223525706,0.2690361871090535
n10_L3,AQNG-physical,5,0.2410317924854844,0.1096892121988397,0.96,0.05962847939999439,0.2462349765857723,397.3768689334,3.702919622234122,0.16866936527410925
n10_L3,AQNG-random,5,0.25203564359343034,0.10625839961203913,0.96,0.05962847939999438,0.23642551946630014,396.9055009924001,6.677047317256442,0.3416092414346965
n10_L3,Adam,5,0.26486536157629825,0.03575813560351713,0.96,0.03651483716701112,0.2790029334623415,1.2872109704000025,4.875488558134103,0.255233151357923
n10_L3,Full-QNG,5,0.4295283414045631,0.2446731641676335,0.8533333333333333,0.16599866130651647,0.44817894457699187,1455.3297285725998,2.119136532291015,0.1025455231008043
n10_L3,SGD,5,0.4071651700750655,0.09818652387514278,0.9333333333333332,0.06666666666666668,0.3960521505089912,1.2676702469999952,1.8507938645721311,0.17422372709135198
n6_L5,AQNG-aligned,5,0.1385881361757129,0.022326299086268552,1.0,0.0,0.14767755691282827,26.335170599400005,7.434270918643401,0.3691736465156235
n6_L5,AQNG-physical,5,0.18328341298062173,0.060825060692669936,1.0,0.0,0.1957651687135532,26.793961587800005,4.890379575768453,0.20577916062299667
n6_L5,AQNG-random,5,0.1267632599339503,0.010581437183626877,1.0,0.0,0.13655280081657087,26.576299792200007,7.96445751325101,0.39823317892058047
n6_L5,Adam,5,0.18424748809772415,0.0493761272949598,1.0,0.0,0.1950222887877154,1.2131851678000003,7.193636965826409,0.37047201656466744
n6_L5,Full-QNG,5,0.38801067027970326,0.10093787943169034,0.96,0.059628479399994376,0.39653521847526607,1532.2379245948,1.9946173687177537,0.10926538044334717
n6_L5,SGD,5,0.3671991838499689,0.10472837379808198,0.9866666666666667,0.029814239699997237,0.394602778753342,1.2209937293999957,1.7642878258671282,0.16575976665013126
n8_L3,AQNG-aligned,5,0.16776231814557843,0.05634690378725654,1.0,0.0,0.1653428980113628,74.87449206840002,6.452500799215431,0.3697336249677387
n8_L3,AQNG-physical,5,0.23767612076362962,0.10034165998004517,0.96,0.059628479399994376,0.24218081483677958,75.5923294836,3.9162128241954632,0.2322295869974727
n8_L3,AQNG-random,5,0.20961681315646605,0.0746457460641345,0.9733333333333333,0.03651483716701113,0.24032272123807008,75.39285334899998,7.002541007018396,0.38833257191298304
n8_L3,Adam,5,0.2311532119025496,0.07090550295787966,1.0,0.0,0.2577391997620299,1.1911584487999989,5.864551248973773,0.3276723179785589
n8_L3,Full-QNG,5,0.4762019273055328,0.17792908156049161,0.9333333333333332,0.08164965809277258,0.5271725780541974,608.5655122864,1.9630536893738184,0.11748005487214305
n8_L3,SGD,5,0.4250568912763689,0.18812578815519948,0.9333333333333332,0.14907119849998599,0.46492270501167443,1.196731075200003,2.348166869641198,0.22752333955088325
