dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,steps,lr,nominal_lam,metric_normalization,damping_mode,max_direction_norm,max_metric_step,shots,loss_batch,metric_batch,metric_every,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,loss_executions,metric_executions,loss_shots_total,metric_shots_total,metric_oracle_in_shot_mode,metric_rank_first,metric_trace_first,metric_rank_last,metric_trace_last,first_g_dot_d,first_predicted_decrease,first_actual_same_batch_decrease,first_actual_same_batch_loss_before,first_actual_same_batch_loss_after,first_diag_metric_rank,first_diag_metric_condition,first_diag_trust_clipped,readout_order,suite,finite_shot_calibration,initial_gradient_max_abs_diff_to_first_method,initial_direction_cosine_to_full_qng,training_shots_total,calibration_shots_shared,end_to_end_shots_including_calibration,training_executions_total,calibration_executions_shared,end_to_end_executions_including_calibration,paper_tag,paper_block,source_artifact,setting
iris01,su2_haar,Adam,1,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2941542456845688,0.9777777777777776,0.2611081363828339,1.0,1.1771194640000004,0.0,1.1741551650000446,0.000756114000012,0,0,80,0,0,0,0,False,,,,,8.127275244575053,0.4876365146745031,0.4535415667743905,1.6812570057039524,1.227715438929562,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s1,followup,paper-run-baselines-scaling-su2_haar-n8-s1,n8_L3
iris01,su2_haar,Full-QNG,1,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.7834867544243097,0.7333333333333333,0.6410424381041547,0.8,458.831593911,458.025787723,0.7981392589999814,0.0034116389998644,10,20,80,0,0,0,0,False,52.0,53.21738997782613,52.0,53.36965256241675,1.715736816343288,0.1029442089805972,0.1017267389281273,1.6812570057039524,1.579530266775825,52,51894.12165861163,True,1,orientation,False,0.0,1.0,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s1,scaling,,n8_L3
iris01,su2_haar,SGD,1,8,3,72,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.4323351868075455,0.9111111111111112,0.3441219014029772,1.0,1.200117444,0.0,1.197232743000015,0.0003815780000024,0,0,80,0,0,0,0,False,,,,,3.8014725385555184,0.3801472538555518,0.3738286904235373,1.6812570057039524,1.3074283152804151,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s1,followup,paper-run-baselines-scaling-su2_haar-n8-s1,n8_L3
iris01,su2_haar,AQNG-aligned,2,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2101146615242984,0.9777777777777776,0.2531802936945367,1.0,74.22335213000002,72.76854348899997,1.4456546570001478,0.0041960349999499,10,20,80,0,0,0,0,False,16.0,7.828258597658698,16.0,7.042928186182847,3.7572540465692943,0.2254352427941576,0.1806192899454526,0.9311618181852742,0.7505425282398216,16,1461.6018665855042,True,1,orientation,False,0.0,0.3821543515145839,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s2,scaling,,n8_L3
iris01,su2_haar,AQNG-physical,2,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2950771196397536,0.9555555555555556,0.3102907481757919,0.9333333333333332,74.546519498,73.50498773799998,1.0322203689999725,0.0043210570000269,10,20,80,0,0,0,0,False,14.0,6.957034877988239,14.0,6.243530480195203,2.6634458985141354,0.1598067539108481,0.1687902952728875,0.9311618181852742,0.7623715229123866,14,2856.432542108545,True,1,orientation,False,0.0,0.5441812946839122,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s2,scaling,,n8_L3
iris01,su2_haar,AQNG-random,2,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3444066203784513,0.9555555555555556,0.3109342169233979,0.9333333333333332,74.16491593999999,73.13600870099992,1.0199772019999784,0.0041465870000649,10,20,80,0,0,0,0,False,16.0,1.2378910784752135,16.0,1.1798878750720034,3.963380344902621,0.2378028206941572,0.244327073955029,0.9311618181852742,0.6868347442302452,16,316.78886591925635,True,1,orientation,False,0.0,0.3709750500277801,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s2,scaling,,n8_L3
iris01,su2_haar,Adam,2,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.1881647944453729,1.0,0.1826971601069929,1.0,1.1786907399999933,0.0,1.1759090999999984,0.0007335239999974,0,0,80,0,0,0,0,False,,,,,3.217223556015884,0.193033413360953,0.1591886431960204,0.9311618181852742,0.7719731749892538,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s2,followup,paper-run-baselines-scaling-su2_haar-n8-s2,n8_L3
iris01,su2_haar,Full-QNG,2,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.546829595102329,0.9555555555555556,0.5792431716373319,0.9333333333333332,641.2737529589999,640.2565528090001,1.0079147569999805,0.0040495320001809,10,20,80,0,0,0,0,False,52.0,53.9718126774236,52.0,54.28000833212853,1.5046318049216,0.0902779082952959,0.0973836341549446,0.9311618181852742,0.8337781840303295,52,15089.726760326592,True,1,orientation,False,0.0,1.0,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s2,scaling,,n8_L3
iris01,su2_haar,SGD,2,8,3,72,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.7286137818678775,0.7333333333333333,0.7435264813699506,0.6666666666666666,1.176502343999999,0.0,1.1737944039999777,0.0003625229999926,0,0,80,0,0,0,0,False,,,,,0.6177827139481196,0.0617782713948119,0.0589308946006054,0.9311618181852742,0.8722309235846688,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s2,followup,paper-run-baselines-scaling-su2_haar-n8-s2,n8_L3
iris01,su2_haar,AQNG-aligned,3,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.1024578564082398,1.0,0.1081719193190042,1.0,87.87550260199998,86.47987407699992,1.3877887769998551,0.0035173369998915,10,20,80,0,0,0,0,False,16.0,5.5355393875005,16.0,5.601766672114884,8.301687549012787,0.4981012529407672,0.4993701102026897,1.6260255447184386,1.126655434515749,16,251.85266889309185,True,1,orientation,False,0.0,0.1957922325238802,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s3,scaling,,n8_L3
